N,stratum,metric,model,reference,n_targets,targets,estimate,low,high,scale,wins,status,n_zero_model,n_zero_reference
40,canonical_not_in_training,ef1,nearest_active,base,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-2.5316435469725147,-9.432531842084414,4.369244748139385,mean_difference,3,defined,,
40,canonical_not_in_training,ef1,nearest_active,base,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.6969175456507939,0.2801584238662333,1.733640769152206,geometric_ratio,3,defined,0.0,0.0
40,canonical_not_in_training,ef1,base,headft,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-2.29742249773139,-7.251050172547236,2.656205177084456,mean_difference,2,defined,,
40,canonical_not_in_training,ef1,base,headft,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.8057592872746916,0.4986022050731206,1.3021362970791635,geometric_ratio,2,defined,0.0,0.0
40,canonical_not_in_training,ef1,nearest_active,headft,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-5.050670175895994,-14.339571690092576,4.238231338300587,mean_difference,2,defined,,
40,canonical_not_in_training,ef1,nearest_active,headft,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.5481175103765865,0.23914417525573314,1.2562831808893282,geometric_ratio,2,defined,0.0,0.0
40,generic_unseen_any,ap,headft,base,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.013740159307356448,-0.012840844129184528,0.040321162743897423,mean_difference,6,defined,,
40,generic_unseen_any,ap,headft,base,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,1.199200116262872,0.8502766722616628,1.6913093887660289,geometric_ratio,6,defined,0.0,0.0
40,generic_unseen_any,ap,nearest_active,base,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-0.021959292421244066,-0.05572356981225818,0.011804984969770047,mean_difference,3,defined,,
40,generic_unseen_any,ap,nearest_active,base,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.5762522650288248,0.2446812944044091,1.3571395956489065,geometric_ratio,3,defined,0.0,0.0
40,generic_unseen_any,ap,base,headft,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-0.013740159307356448,-0.040321162743897423,0.012840844129184528,mean_difference,2,defined,,
40,generic_unseen_any,ap,base,headft,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.8338891786604812,0.5912578778561592,1.1760877754532368,geometric_ratio,2,defined,0.0,0.0
40,generic_unseen_any,ap,nearest_active,headft,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-0.03689892715665725,-0.09289194058163441,0.01909408626831991,mean_difference,3,defined,,
40,generic_unseen_any,ap,nearest_active,headft,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.4847730247636853,0.18541874919702012,1.2674278440354694,geometric_ratio,3,defined,0.0,0.0
40,generic_unseen_any,ef1,headft,base,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,1.9940309319627982,-2.8883528443580015,6.876414708283598,mean_difference,6,defined,,
40,generic_unseen_any,ef1,headft,base,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,1.2380165156834675,0.7426010419181995,2.063941210136175,geometric_ratio,6,defined,0.0,0.0
40,generic_unseen_any,ef1,nearest_active,base,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-3.053277262359302,-9.796528834860887,3.6899743101422837,mean_difference,3,defined,,
40,generic_unseen_any,ef1,nearest_active,base,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.6609999649600942,0.24054846788545348,1.816353093071051,geometric_ratio,3,defined,0.0,0.0
40,generic_unseen_any,ef1,base,headft,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-1.9940309319627982,-6.876414708283598,2.8883528443580015,mean_difference,2,defined,,
40,generic_unseen_any,ef1,base,headft,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.8077436668507879,0.48450992455062314,1.34661809444398,geometric_ratio,2,defined,0.0,0.0
40,generic_unseen_any,ef1,nearest_active,headft,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-4.98107158526077,-14.503389523813647,4.541246353292108,mean_difference,2,defined,,
40,generic_unseen_any,ef1,nearest_active,headft,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.5307503747407839,0.21312937025540934,1.3217134736048093,geometric_ratio,2,defined,0.0,0.0
40,murcko_unseen_active,ap,headft,base,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.015505965748264594,-0.012315685787079684,0.04332761728360887,mean_difference,6,defined,,
40,murcko_unseen_active,ap,headft,base,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,1.2333285805704455,0.8738641445948655,1.74065888509147,geometric_ratio,6,defined,0.0,0.0
40,murcko_unseen_active,ap,nearest_active,base,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-0.0195013726654874,-0.056255360980020735,0.017252615649045937,mean_difference,3,defined,,
40,murcko_unseen_active,ap,nearest_active,base,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.6005371263922148,0.2520361085265634,1.430925284015043,geometric_ratio,3,defined,0.0,0.0
40,murcko_unseen_active,ap,base,headft,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-0.015505965748264594,-0.04332761728360887,0.012315685787079684,mean_difference,2,defined,,
40,murcko_unseen_active,ap,base,headft,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.8108139353565251,0.5744950998526348,1.1443426374515144,geometric_ratio,2,defined,0.0,0.0
40,murcko_unseen_active,ap,nearest_active,headft,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-0.036536489608124605,-0.09522730507149979,0.022154325855250588,mean_difference,3,defined,,
40,murcko_unseen_active,ap,nearest_active,headft,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.48597326298907967,0.18832311050997,1.2540681369414302,geometric_ratio,3,defined,0.0,0.0
40,murcko_unseen_active,ef1,headft,base,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,2.1152880013749784,-2.671046350624269,6.901622353374226,mean_difference,6,defined,,
40,murcko_unseen_active,ef1,headft,base,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,1.2337572951045823,0.7723748342583924,1.9707491695859018,geometric_ratio,6,defined,0.0,0.0
40,murcko_unseen_active,ef1,nearest_active,base,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-2.8540452642364325,-9.797156052319838,4.089065523846973,mean_difference,3,defined,,
40,murcko_unseen_active,ef1,nearest_active,base,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.6544949768428745,0.24919065545583224,1.7190198160880878,geometric_ratio,3,defined,0.0,0.0
40,murcko_unseen_active,ef1,base,headft,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-2.1152880013749784,-6.901622353374226,2.671046350624269,mean_difference,2,defined,,
40,murcko_unseen_active,ef1,base,headft,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.8105321881117896,0.5074212464136785,1.2947081593617242,geometric_ratio,2,defined,0.0,0.0
40,murcko_unseen_active,ef1,nearest_active,headft,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-5.16485157353189,-14.568064643691283,4.238361496627504,mean_difference,2,defined,,
40,murcko_unseen_active,ef1,nearest_active,headft,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.518238845341151,0.2147733605782315,1.2504879566881946,geometric_ratio,2,defined,0.0,0.0
40,murcko_unseen_any,ap,headft,base,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.015442497911557815,-0.01220760262357767,0.0430925984466933,mean_difference,6,defined,,
40,murcko_unseen_any,ap,headft,base,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,1.2317379194750628,0.8743740218614106,1.735159398998283,geometric_ratio,6,defined,0.0,0.0
40,murcko_unseen_any,ap,nearest_active,base,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-0.019466727321271016,-0.05591199242786164,0.016978537785319613,mean_difference,3,defined,,
40,murcko_unseen_any,ap,nearest_active,base,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.5977791708986525,0.2528613524094228,1.4131852643961587,geometric_ratio,3,defined,0.0,0.0
40,murcko_unseen_any,ap,base,headft,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-0.015442497911557815,-0.0430925984466933,0.01220760262357767,mean_difference,2,defined,,
40,murcko_unseen_any,ap,base,headft,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.8118610170142168,0.5763159284255415,1.1436753322921818,geometric_ratio,2,defined,0.0,0.0
40,murcko_unseen_any,ap,nearest_active,headft,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-0.03645792296352564,-0.09500955399860567,0.02209370807155439,mean_difference,3,defined,,
40,murcko_unseen_any,ap,nearest_active,headft,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.48512328861014814,0.18954494276207115,1.2416295667004136,geometric_ratio,3,defined,0.0,0.0
40,murcko_unseen_any,ef1,headft,base,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,2.186707321627383,-2.587941723053737,6.961356366308504,mean_difference,6,defined,,
40,murcko_unseen_any,ef1,headft,base,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,1.2404013678041268,0.7761256665605217,1.9824051948556065,geometric_ratio,6,defined,0.0,0.0
40,murcko_unseen_any,ef1,nearest_active,base,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-2.856147433123586,-9.776148590279348,4.063853724032176,mean_difference,3,defined,,
40,murcko_unseen_any,ef1,nearest_active,base,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.6546648993495686,0.2507035715436208,1.7095334055335132,geometric_ratio,3,defined,0.0,0.0
40,murcko_unseen_any,ef1,base,headft,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-2.186707321627383,-6.961356366308504,2.587941723053737,mean_difference,2,defined,,
40,murcko_unseen_any,ef1,base,headft,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.8061906621163217,0.5044377418879987,1.2884511401763064,geometric_ratio,2,defined,0.0,0.0
40,murcko_unseen_any,ef1,nearest_active,headft,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-5.137301704240146,-14.504605657694063,4.23000224921377,mean_difference,2,defined,,
40,murcko_unseen_any,ef1,nearest_active,headft,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.5195502647215786,0.21846268661965595,1.2355999175374761,geometric_ratio,2,defined,0.0,0.0
40,similarity_active_03_04,ap,headft,base,5,434954-2097;463203-2650;504329;540297-493091;588689,0.08230055272464,-0.06650498522027658,0.23110609066955656,mean_difference,3,defined,,
40,similarity_active_03_04,ap,headft,base,5,434954-2097;463203-2650;504329;540297-493091;588689,1.338890695060428,0.8371510521510201,2.141343893331224,geometric_ratio,3,defined,0.0,0.0
40,similarity_active_03_04,ap,nearest_active,base,5,434954-2097;463203-2650;504329;540297-493091;588689,-0.09939266130496502,-0.23122699517814743,0.032441672568217395,mean_difference,1,defined,,
40,similarity_active_03_04,ap,nearest_active,base,5,434954-2097;463203-2650;504329;540297-493091;588689,0.2813666981578635,0.08743431760704298,0.9054478950480336,geometric_ratio,1,defined,0.0,0.0
40,similarity_active_03_04,ap,base,headft,5,434954-2097;463203-2650;504329;540297-493091;588689,-0.08230055272464,-0.23110609066955656,0.06650498522027658,mean_difference,2,defined,,
40,similarity_active_03_04,ap,base,headft,5,434954-2097;463203-2650;504329;540297-493091;588689,0.7468869592486541,0.46699645167424764,1.1945275556072552,geometric_ratio,2,defined,0.0,0.0
40,similarity_active_03_04,ap,nearest_active,headft,5,434954-2097;463203-2650;504329;540297-493091;588689,-0.181693214029605,-0.4409040451926515,0.07751761713344149,mean_difference,0,defined,,
40,similarity_active_03_04,ap,nearest_active,headft,5,434954-2097;463203-2650;504329;540297-493091;588689,0.2101491176209605,0.04982071862489056,0.8864314457079011,geometric_ratio,0,defined,0.0,0.0
40,similarity_active_03_04,ef1,headft,base,5,434954-2097;463203-2650;504329;540297-493091;588689,4.339465558886896,-14.265250026170047,22.94418114394384,mean_difference,3,defined,,
40,similarity_active_03_04,ef1,headft,base,5,434954-2097;463203-2650;504329;540297-493091;588689,,,,geometric_ratio,3,log_ratio_undefined_due_to_zero,1.0,1.0
40,similarity_active_03_04,ef1,nearest_active,base,5,434954-2097;463203-2650;504329;540297-493091;588689,-6.4697128140093785,-18.51750136055447,5.57807573253571,mean_difference,1,defined,,
40,similarity_active_03_04,ef1,nearest_active,base,5,434954-2097;463203-2650;504329;540297-493091;588689,,,,geometric_ratio,1,log_ratio_undefined_due_to_zero,4.0,1.0
40,similarity_active_03_04,ef1,base,headft,5,434954-2097;463203-2650;504329;540297-493091;588689,-4.339465558886896,-22.94418114394384,14.265250026170047,mean_difference,2,defined,,
40,similarity_active_03_04,ef1,base,headft,5,434954-2097;463203-2650;504329;540297-493091;588689,,,,geometric_ratio,2,log_ratio_undefined_due_to_zero,1.0,1.0
40,similarity_active_03_04,ef1,nearest_active,headft,5,434954-2097;463203-2650;504329;540297-493091;588689,-10.809178372896275,-28.430241832469044,6.811885086676492,mean_difference,1,defined,,
