auroc,auprc,ef_1pct,ef_5pct,bedroc,recall_at_50,recall_at_100,hits_at_20,hits_at_100,n_eval,n_active,target,arm,train_size,seed,n_dropped,path,n_train_active,n_train_used,hp_source,hp_lr,hp_epochs,hp_l2sp,hp_cv_ap
0.35916328678659015,0.005700651110784948,0.5048980753206105,0.404081068332276,0.022007952371422102,0.0,0.0025252525252525255,0,1,49685,396,588689,drugclip_zeroshot,0,-1,0,official,,,,,,,
0.9054025003222592,0.0960419734199518,18.17633071154198,10.152536841848434,0.45504265077632267,0.030303030303030304,0.05808080808080808,3,23,49685,396,588689,boltz_base,0,-1,0,,,,,,,,
0.9353047814672111,0.16493089453690302,27.01204702965266,12.425492851217488,0.5586773620501734,0.045454545454545456,0.07575757575757576,12,30,49685,396,588689,boltz_headft,40,-1,0,,,,,,,,
0.9352884379513039,0.20200490258691617,30.798782594557238,13.68824618975585,0.6055994511285039,0.06060606060606061,0.10606060606060606,11,42,49685,396,588689,boltz_headft,100,-1,0,,,,,,,,
0.9316322038785467,0.236604751871953,31.80857874519846,12.981104320174367,0.5861017232559376,0.08080808080808081,0.11868686868686869,16,47,49685,396,588689,boltz_headft,300,-1,0,,,,,,,,
0.5672581789818901,0.013833290354412655,4.039184602564884,2.4749965435351906,0.11296244280451138,0.007575757575757576,0.007575757575757576,3,3,49685,396,588689,drugclip_headft,40,0,0,,16.0,40.0,cv,0.001,800.0,0.0,0.5303500203500203
0.5672581789818901,0.013833290354412655,4.039184602564884,2.4749965435351906,0.11296244280451138,0.007575757575757576,0.007575757575757576,3,3,49685,396,588689,drugclip_headft,40,1,0,,16.0,40.0,cv,0.001,800.0,0.0,0.5303500203500203
0.5672581789818901,0.013833290354412655,4.039184602564884,2.4749965435351906,0.11296244280451138,0.007575757575757576,0.007575757575757576,3,3,49685,396,588689,drugclip_headft,40,2,0,,16.0,40.0,cv,0.001,800.0,0.0,0.5303500203500203
0.5672581789818901,0.013833290354412655,4.039184602564884,2.4749965435351906,0.11296244280451138,0.007575757575757576,0.007575757575757576,3,3,49685,396,588689,drugclip_headft,40,3,0,,16.0,40.0,cv,0.001,800.0,0.0,0.5303500203500203
0.5672581789818901,0.013833290354412655,4.039184602564884,2.4749965435351906,0.11296244280451138,0.007575757575757576,0.007575757575757576,3,3,49685,396,588689,drugclip_headft,40,4,0,,16.0,40.0,cv,0.001,800.0,0.0,0.5303500203500203
