auroc,auprc,ef_1pct,ef_5pct,bedroc,recall_at_50,recall_at_100,hits_at_20,hits_at_100,n_eval,n_active,target,arm,feature,tuning,train_size,n_train_active,cv_ap,note
0.5819394722243229,0.015779889413991898,3.5342865272442734,2.4749965435351906,0.11125286846837136,0.005050505050505051,0.017676767676767676,1.0,7.0,49685,396,588689,ecfp_graw_lgbm_cv,ecfp_graw,cv,40,16,0.5348385565052232,cv
0.644022597293104,0.015868355869932845,3.5342865272442734,3.3841789472828117,0.14582280456442578,0.0,0.0025252525252525255,0.0,1.0,49685,396,588689,ecfp_graw_lgbm_cv,ecfp_graw,cv,100,32,0.5509781220610867,cv
0.7325121818112139,0.03895362666249076,11.61265573237404,5.455094422485726,0.2565355550261412,0.022727272727272728,0.03282828282828283,3.0,13.0,49685,396,588689,ecfp_graw_lgbm_cv,ecfp_graw,cv,300,90,0.6429696967991415,cv
0.5794432691458397,0.020145818858903056,6.311225941507631,2.9800978789505357,0.14699880702038645,0.015151515151515152,0.020202020202020204,3.0,8.0,49685,396,588689,chemeleon_graw_lgbm_cv,chemeleon_graw,cv,40,16,0.4289450056116723,cv
0.6830376950129837,0.0332129369534099,6.563674979167937,4.3438714845719675,0.1960651980675525,0.015151515151515152,0.020202020202020204,5.0,8.0,49685,396,588689,chemeleon_graw_lgbm_cv,chemeleon_graw,cv,100,32,0.5005287982354311,cv
0.7743766357605144,0.1396984115698235,22.72041338942747,7.475499764147107,0.3632388248960294,0.07828282828282829,0.11616161616161616,14.0,46.0,49685,396,588689,chemeleon_graw_lgbm_cv,chemeleon_graw,cv,300,90,0.7291945646313053,cv
0.5581545307974374,0.018290809921987956,1.3527715685180093,1.678112041558532,0.08582984685762084,0.0013531799729364006,0.0027063599458728013,0.0,2.0,49685,739,540297-493091,ecfp_graw_lgbm_cv,ecfp_graw,cv,40,8,0.5997474747474748,cv
0.6161348064285808,0.0294347159863982,3.923037548702227,2.760764971596295,0.13956167885784299,0.010825439783491205,0.016238159675236806,4.0,12.0,49685,739,540297-493091,ecfp_graw_lgbm_cv,ecfp_graw,cv,100,16,0.390992861726845,cv
0.6525582554953965,0.027950215052531653,2.9760974507396205,2.544234385588742,0.13042288581695355,0.009472259810554804,0.012178619756427604,3.0,9.0,49685,739,540297-493091,ecfp_graw_lgbm_cv,ecfp_graw,cv,300,43,0.405476135038984,cv
0.5202181332972677,0.01736024421593714,1.4880487253698103,1.6510457183075882,0.08429134501051294,0.0027063599458728013,0.0027063599458728013,1.0,2.0,49685,739,540297-493091,chemeleon_graw_lgbm_cv,chemeleon_graw,cv,40,8,0.5828042328042328,cv
0.6292082014439486,0.031350251627546497,4.869977646664833,2.8148976180981826,0.1551232878170977,0.005412719891745603,0.017591339648173207,3.0,13.0,49685,739,540297-493091,chemeleon_graw_lgbm_cv,chemeleon_graw,cv,100,16,0.40261405899336933,cv
