auroc,auprc,ef_1pct,ef_5pct,bedroc,recall_at_50,recall_at_100,hits_at_20,hits_at_100,n_eval,n_active,target,arm,feature,tuning,train_size,n_train_active,cv_ap,note
0.6620793132895225,0.014861100569498985,1.2622451883015262,2.0709154752029146,0.107957187763444,0.0025252525252525255,0.005050505050505051,1.0,2.0,49685,396,588689,ecfp_lgbm_cv,ecfp,cv,40,16,0.4709272209272209,cv
0.7040305313271897,0.028764479358725614,6.311225941507631,3.7882600156150876,0.1913551726155484,0.020202020202020204,0.03787878787878788,4.0,15.0,49685,396,588689,ecfp_lgbm_cv,ecfp,cv,100,32,0.39468338391784413,cv
0.7477845057731036,0.042983205790526044,10.350410544072515,5.101523487694985,0.2463015954567071,0.027777777777777776,0.050505050505050504,3.0,20.0,49685,396,588689,ecfp_lgbm_cv,ecfp,cv,300,90,0.7506206841858786,cv
0.5868026416450001,0.014586135668060963,3.5342865272442734,1.7173445404121732,0.10045108194507694,0.0025252525252525255,0.007575757575757576,1.0,3.0,49685,396,588689,graw_lgbm_cv,graw,cv,40,16,0.5385422602089268,cv
0.6420708023651885,0.014798514968702254,3.029388451923663,2.8285674783259322,0.12747856022483786,0.005050505050505051,0.010101010101010102,0.0,4.0,49685,396,588689,graw_lgbm_cv,graw,cv,100,32,0.5310961980609544,cv
0.6878156885866517,0.041078798263524,9.845512468751904,4.242851217488898,0.21367927026313846,0.030303030303030304,0.045454545454545456,7.0,18.0,49685,396,588689,graw_lgbm_cv,graw,cv,300,90,0.5976011217899471,cv
0.6087675841373421,0.024062662920909982,6.563674979167937,2.9800978789505357,0.14784522540447353,0.020202020202020204,0.030303030303030304,7.0,12.0,49685,396,588689,chemeleon_lgbm_cv,chemeleon,cv,40,16,0.5002238502238502,cv
0.6659965312808745,0.026713861731190662,5.553878828526715,3.636729614990484,0.1704866264851403,0.020202020202020204,0.027777777777777776,4.0,11.0,49685,396,588689,chemeleon_lgbm_cv,chemeleon,cv,100,32,0.6019907354527009,cv
0.7870203690417125,0.14413984339287603,24.99245472837022,7.829070698937848,0.3712108620120029,0.07323232323232323,0.12878787878787878,13.0,51.0,49685,396,588689,chemeleon_lgbm_cv,chemeleon,cv,300,90,0.7137016736820191,cv
0.5927077848405691,0.020938238395988594,2.4349888233324166,1.8134436578132522,0.0980500958630688,0.0027063599458728013,0.005412719891745603,0.0,4.0,49685,739,540297-493091,ecfp_lgbm_cv,ecfp,cv,40,8,0.4838624338624338,cv
0.5777478419646362,0.030279019468607064,5.546363430923838,2.869030264600071,0.14051102960422154,0.009472259810554804,0.014884979702300407,4.0,11.0,49685,739,540297-493091,ecfp_lgbm_cv,ecfp,cv,100,16,0.41848719819984187,cv
