target,arm,n_train,auroc,auprc,ef_1pct,ef_5pct,bedroc,recall_at_50,recall_at_100,n_eval,n_active
588689,base,0,0.9054025003222592,0.0960419734199518,18.17633071154198,10.152536841848434,0.45504265077632267,0.030303030303030304,0.05808080808080808,49685,396
588689,lightning,40,0.9353047814672111,0.16493089453690302,27.01204702965266,12.425492851217488,0.5586773620501734,0.045454545454545456,0.07575757575757576,49685,396
588689,lightning,100,0.9352884379513039,0.20200490258691617,30.798782594557238,13.68824618975585,0.6055994511285039,0.06060606060606061,0.10606060606060606,49685,396
588689,lightning,300,0.9316322038785467,0.236604751871953,31.80857874519846,12.981104320174367,0.5861017232559376,0.08080808080808081,0.11868686868686869,49685,396
540297-493091,base,0,0.766859042195406,0.05916792329332654,7.169689313145449,5.277933033934093,0.2604817894719175,0.005412719891745603,0.016238159675236806,49685,739
540297-493091,lightning,40,0.7682775643999046,0.07935336040161028,10.957449704995875,5.467397296690701,0.2824813808728826,0.02165087956698241,0.035182679296346414,49685,739
540297-493091,lightning,100,0.7711345003830958,0.08120217348545652,12.174944116662083,5.927524791956751,0.3000423955015433,0.018944519621109608,0.035182679296346414,49685,739
540297-493091,lightning,300,0.7823440728665824,0.09464320793871991,13.933547155735495,6.198188024466191,0.31673117775753584,0.023004059539918808,0.03382949932341001,49685,739
434954-2097,base,0,0.8642780144970124,0.08103727517136747,18.077754566653713,9.107515916143415,0.3989576650577166,0.02650602409638554,0.04578313253012048,49615,415
434954-2097,lightning,40,0.8687713292193163,0.07511602439664997,16.390497473766032,8.384697192639967,0.3885246498986449,0.016867469879518072,0.043373493975903614,49615,415
434954-2097,lightning,100,0.8607102556567734,0.10387201583755938,22.17537893509522,8.818388426742034,0.41717487478129783,0.02891566265060241,0.05542168674698795,49615,415
434954-2097,lightning,300,0.8815500538740326,0.28576761199808326,32.780994947532065,11.035032512152602,0.5266660670103517,0.10843373493975904,0.18313253012048192,49615,415
463203-2650,base,0,0.819436163264569,0.07122135724788915,13.83261665277943,7.454175219444812,0.3480176028607902,0.014760147601476014,0.02214022140221402,49582,542
463203-2650,lightning,40,0.7893519598430079,0.041732761884973976,5.717481549815498,5.276965625646575,0.25132912311012257,0.0018450184501845018,0.00922509225092251,49582,542
463203-2650,lightning,100,0.8388521043142732,0.08623843344654078,13.83261665277943,8.08150679731888,0.38034411844142074,0.016605166051660517,0.02952029520295203,49582,542
463203-2650,lightning,300,0.8458306495789265,0.11689150722470922,19.365663313891204,8.52432908758293,0.4056013178513798,0.03136531365313653,0.04981549815498155,49582,542
493248-485317,base,0,0.6374036484100304,0.03613745651103383,3.4613557525636507,2.812172088142707,0.14861868107306767,0.005246589716684155,0.008394543546694649,49680,953
493248-485317,lightning,40,0.6490803388370753,0.0400696852955058,3.776024457342164,3.1689401888772295,0.16453901976585922,0.0062959076600209865,0.011542497376705142,49680,953
493248-485317,lightning,100,0.6438661695067004,0.04129273188537595,4.090693162120678,3.1269674711437565,0.16738918498199837,0.007345225603357817,0.01049317943336831,49680,953
493248-485317,lightning,300,0.6860110889134532,0.060398138985512634,7.13249064164631,3.882476390346275,0.20806182937968531,0.017838405036726127,0.026232948583420776,49680,953
504329,base,0,0.833573169704934,0.04657806961194122,7.987973503119172,6.575607173582159,0.30232044406901853,0.00684931506849315,0.0182648401826484,49682,438
504329,lightning,40,0.8169267266271504,0.11122804000994599,18.486452964361515,8.082517150861403,0.37464337470155434,0.04794520547945205,0.08447488584474885,49682,438
504329,lightning,100,0.8210552225447858,0.13936380932057038,21.681642365609182,8.676148354032016,0.4157524438976961,0.05251141552511415,0.08447488584474885,49682,438
504329,lightning,300,0.8243319122112645,0.22188687248436242,31.038982754977358,9.680755005551513,0.46723267978089233,0.0776255707762557,0.13926940639269406,49682,438
624273-588549,base,0,0.6608570025099083,0.006359778320329556,2.6659691482226697,3.4671551261406335,0.1456721270206427,0.0,0.0,49687,150
624273-588549,lightning,40,0.655874329625667,0.00876075244776289,6.664922870556674,3.4671551261406335,0.1668646544132479,0.02,0.02666666666666667,49687,150
624273-588549,lightning,100,0.6640064329020059,0.010322911485890941,7.997907444668008,3.8672114868491683,0.1702893616494896,0.013333333333333334,0.02666666666666667,49687,150
624273-588549,lightning,300,0.6801517384312064,0.007001423034059665,3.332461435278337,3.333803005904455,0.1483374188495105,0.006666666666666667,0.013333333333333334,49687,150
1053173-743445,base,0,0.829287412135264,0.022171269825383776,15.670065167122134,8.357368089131805,0.3479701012544961,0.022388059701492536,0.029850746268656716,49695,134
1053173-743445,lightning,40,0.7231435285387795,0.026965740715798565,16.416258746508902,6.417264782726208,0.278636475890206,0.029850746268656716,0.07462686567164178,49695,134
1053173-743445,lightning,100,0.786053640515969,0.03068738498978823,18.65483948466921,6.566503498603561,0.31724095292691806,0.03731343283582089,0.05970149253731343,49695,134
1053173-743445,lightning,300,0.7689851974967077,0.04816426009214321,17.16245232589567,6.566503498603561,0.30304729086180104,0.06716417910447761,0.08955223880597014,49695,134
